Day,Sales,Trading Profit,Operating Expense,Net Profit
11,7948675,6427914,790565,5637349
12,9320915,7665840,837959,6827881
13,10937410,9133941,887453,8246488
14,12535791,9314778,946490,8368288
15,14178649,10819830,1008102,9811728
16,15747619,12261522,8606234,3655288
17,17850817,11103362,8881161,2222201
18,24710982,17833304,8956214,8877090
19,26635011,19628271,9005912,10622359
20,29963442,22409460,9151102,13258358
21,31691865,24014626,9236877,14777749
22,34174750,26382096,9286789,17095307
23,36225698,28302489,9344865,18957624
24,38309347,30253132,9404922,20848210
25,40271797,32011496,9463010,22548486
26,42358556,33920136,9529521,24390615
27,44434344,34580996,9607590,24973406
28,48298318,38130463,10008525,28121938
29,50125669,39844661,10067099,29777562
30,52136866,41696208,10135959,31560249
31,54376215,43831319,10215230,33616089
32,56695819,45983851,10294706,35689145
33,62597890,51556339,10374485,41181854
34,67930707,56630086,10513944,46116142
35,73195233,61155994,10670342,50485652
36,75751815,63615267,10804937,52810330
37,77714274,64988589,10926244,54062345
38,80324945,67472458,10997597,56474861
39,82622385,67975348,20772381,47202967
40,84985078,70238249,20934740,49303509
41,87114915,72322798,21018603,51304195
42,89552317,74582583,21101500,53481083
43,94201155,79087308,21191261,57896047
44,100739028,85407391,21291585,64115806
45,108049219,92334557,21430261,70904296
46,110330145,94400984,21510575,72890409
47,112724436,96784035,21605461,75178574
48,114826038,98826973,21688845,77138128
49,117012345,100375490,21819953,78555537
50,119989586,103302088,21898593,81403495
51,122199952,105463979,21977352,83486627
52,128010266,111059954,22064390,88995564
53,134122531,116939860,22208526,94731334
54,141660592,123417480,22412418,101005062
55,144389034,125461105,26557458,98903647
56,146674584,127702697,26708997,100993700
57,149060403,129992011,26792456,103199555
58,151493333,132339445,26893604,105445841
59,155047998,135134409,26994535,108139874
60,157381709,137429906,27087996,110341910
61,158832120,136895656,27423080,109472576
62,163509784,141449836,27571931,113877905
63,164384024,142319300,27704203,114615097
64,165298245,143218682,27813249,115405433
65,170470621,148161483,27905837,120255646
66,171617852,149298688,28068576,121230112
67,173162683,150854362,28173009,122681353
68,174918449,151814147,28303743,123510404
69,178275509,155009166,28391268,126617898
70,187245945,163735356,28506952,135228404
71,197356332,173670758,28639496,145031262
72,207625715,183118709,28762226,154356483
73,210754542,186173476,28873687,157299789
74,213088050,188447189,28979207,159467982
75,215416714,189552227,29123544,160428683
76,220236048,193707496,29232718,164474778
77,223505380,196526059,29457728,167068331
78,226556925,199306022,29619612,169686410
79,229148362,201835758,29750478,172085280
80,232448419,205065462,29862415,175203047
81,235899637,208437904,30009424,178428480
82,239066454,211530424,30110925,181419499
83,243267816,215605092,30262387,185342705
84,263297572,235165937,30390698,204775239
85,280998679,252466128,30484351,221981777
86,285229826,256602298,30624435,225977863
87,289836501,260732048,30773120,229958928
88,293560740,264372874,30909789,233463085
89,296721677,267467524,31070360,236397164
90,299621363,270303268,31239796,239063472
